concept,method,prompt_idx,prompt,t2i,i2i,dino
person_3,lora_zwx,7,"person in an astronaut suit, floating in a spaceship.",0.3257,0.53,0.2225
person_3,lora_zwx,8,"person dressed in a a firefighter's outfit, a raging forest fire in the background.",0.3309,0.5277,0.2688
person_3,lora_zwx,9,"person wearing Victorian-era clothing, reading a book in a classic British library.",0.3498,0.4985,0.2655
person_3,dora_zwx,0,photo of a person.,0.2595,0.7416,0.4748
person_3,dora_zwx,1,person selfie standing under the pink blossoms of a cherry tree.,0.3735,0.6206,0.4265
person_3,dora_zwx,2,"person in a chef's outfit, cooking in a kitchen.",0.3288,0.5709,0.3713
person_3,dora_zwx,3,person paddling a canoe on a tranquil lake.,0.3246,0.5057,0.094
person_3,dora_zwx,4,person playing with their pet dog.,0.2921,0.4756,0.2103
person_3,dora_zwx,5,Photo of person taking a shot in basketball.,0.2995,0.4126,0.0626
person_3,dora_zwx,6,person selfie with eiffel tower in the background.,0.3359,0.72,0.4884
person_3,dora_zwx,7,"person in an astronaut suit, floating in a spaceship.",0.3337,0.5548,0.2426
person_3,dora_zwx,8,"person dressed in a a firefighter's outfit, a raging forest fire in the background.",0.3394,0.5185,0.285
person_3,dora_zwx,9,"person wearing Victorian-era clothing, reading a book in a classic British library.",0.3549,0.4082,0.269
pet_cat5,lora_zwx,0,Photo of a cat.,0.3019,0.8497,0.732
pet_cat5,lora_zwx,1,cat swimming in a pool.,0.3539,0.7769,0.6158
pet_cat5,lora_zwx,2,cat at a beach with a view of the seashore.,0.3671,0.7872,0.6298
pet_cat5,lora_zwx,3,cat sitting on a window.,0.3218,0.8648,0.7044
pet_cat5,lora_zwx,4,cat in times square.,0.3505,0.8266,0.749
pet_cat5,lora_zwx,5,cat is wearing sunglasses.,0.3395,0.8176,0.7174
pet_cat5,lora_zwx,6,cat wearing a construction outfit.,0.3805,0.7938,0.7456
pet_cat5,lora_zwx,7,cat is playing with a ball.,0.3315,0.8334,0.7248
pet_cat5,lora_zwx,8,cat is wearing headphones.,0.3392,0.7524,0.7034
pet_cat5,lora_zwx,9,cat oil painting ghibli inspired.,0.2848,0.7707,0.7428
pet_cat5,dora_zwx,0,Photo of a cat.,0.2962,0.8023,0.719
pet_cat5,dora_zwx,1,cat swimming in a pool.,0.357,0.759,0.6145
pet_cat5,dora_zwx,2,cat at a beach with a view of the seashore.,0.3616,0.7927,0.6247
pet_cat5,dora_zwx,3,cat sitting on a window.,0.3179,0.8655,0.6831
pet_cat5,dora_zwx,4,cat in times square.,0.3528,0.8168,0.7312
pet_cat5,dora_zwx,5,cat is wearing sunglasses.,0.3445,0.7977,0.6986
pet_cat5,dora_zwx,6,cat wearing a construction outfit.,0.3731,0.7867,0.723
pet_cat5,dora_zwx,7,cat is playing with a ball.,0.3291,0.8353,0.6656
pet_cat5,dora_zwx,8,cat is wearing headphones.,0.3538,0.7694,0.7286
pet_cat5,dora_zwx,9,cat oil painting ghibli inspired.,0.3129,0.7338,0.7545
scene_waterfall,lora_zwx,0,photo of a waterfall.,0.3006,0.8931,0.8165
scene_waterfall,lora_zwx,1,The waterfall at dusk with the first rays of sunlight creeping in.,0.3159,0.9128,0.7791
scene_waterfall,lora_zwx,2,waterfall at night full of stars.,0.3355,0.8438,0.6724
scene_waterfall,lora_zwx,3,A frozen waterfall in the winter season and snow all around.,0.3447,0.7815,0.569
scene_waterfall,lora_zwx,4,A waterfall in a neon-lit cyberpunk cityscape.,0.3921,0.609,0.4036
scene_waterfall,lora_zwx,5,A golden retriever in front of the waterfall.,0.4039,0.7889,0.2578
scene_waterfall,lora_zwx,6,A cat sitting in front of the waterfall.,0.3855,0.7511,0.1892
scene_waterfall,lora_zwx,7,waterfall with a vibrant rainbow arching across its mist.,0.3519,0.8536,0.6452
scene_waterfall,lora_zwx,8,A flock of flamingos standing in the shallow waters of the waterfall.,0.3852,0.7456,0.2592
scene_waterfall,lora_zwx,9,A painter painting the scene of the waterfall on canvas.,0.4071,0.7035,0.3841
scene_waterfall,dora_zwx,0,photo of a waterfall.,0.2912,0.911,0.8051
scene_waterfall,dora_zwx,1,The waterfall at dusk with the first rays of sunlight creeping in.,0.3011,0.9173,0.7629
scene_waterfall,dora_zwx,2,waterfall at night full of stars.,0.3374,0.8444,0.6496
scene_waterfall,dora_zwx,3,A frozen waterfall in the winter season and snow all around.,0.3376,0.7879,0.5441
scene_waterfall,dora_zwx,4,A waterfall in a neon-lit cyberpunk cityscape.,0.3978,0.6321,0.4617
scene_waterfall,dora_zwx,5,A golden retriever in front of the waterfall.,0.4178,0.7372,0.3619
scene_waterfall,dora_zwx,6,A cat sitting in front of the waterfall.,0.3987,0.7371,0.2408
scene_waterfall,dora_zwx,7,waterfall with a vibrant rainbow arching across its mist.,0.3493,0.837,0.6056
scene_waterfall,dora_zwx,8,A flock of flamingos standing in the shallow waters of the waterfall.,0.3974,0.7062,0.367
scene_waterfall,dora_zwx,9,A painter painting the scene of the waterfall on canvas.,0.3963,0.7156,0.5109
transport_tank,lora_zwx,0,photo of a tank.,0.3033,0.6367,0.3535
transport_tank,lora_zwx,1,"tank at the edge Grand Canyon, with the sun setting in the background.",0.3399,0.5555,0.3352
transport_tank,lora_zwx,2,A graffiti-covered tank parked on a street.,0.3255,0.6909,0.351
transport_tank,lora_zwx,3,Photo of snow-covered tank in a forest.,0.3564,0.5194,0.194
transport_tank,lora_zwx,4,The tank in a rustic barnyard.,0.3122,0.5828,0.2188
transport_tank,lora_zwx,5,The tank in a cherry blossom park.,0.3858,0.5734,0.3266
transport_tank,lora_zwx,6,A tank under a clear night sky.,0.3561,0.6133,0.3534
transport_tank,lora_zwx,7,A squirrel perched on the tank.,0.3016,0.6044,0.1599
transport_tank,lora_zwx,8,"tank on Mars, an astronaut planting a flag nearby.",0.3648,0.5809,0.3834
transport_tank,lora_zwx,9,Photo of a drone hovering beside the tank.,0.3043,0.69,0.2029
transport_tank,dora_zwx,0,photo of a tank.,0.2944,0.6927,0.435
transport_tank,dora_zwx,1,"tank at the edge Grand Canyon, with the sun setting in the background.",0.3346,0.5572,0.3293
transport_tank,dora_zwx,2,A graffiti-covered tank parked on a street.,0.3579,0.5053,0.1613
transport_tank,dora_zwx,3,Photo of snow-covered tank in a forest.,0.373,0.5175,0.2045
transport_tank,dora_zwx,4,The tank in a rustic barnyard.,0.3488,0.5953,0.2423
transport_tank,dora_zwx,5,The tank in a cherry blossom park.,0.3953,0.596,0.2323
transport_tank,dora_zwx,6,A tank under a clear night sky.,0.344,0.5878,0.2308
transport_tank,dora_zwx,7,A squirrel perched on the tank.,0.2941,0.6575,0.1821
transport_tank,dora_zwx,8,"tank on Mars, an astronaut planting a flag nearby.",0.3422,0.5573,0.1875
transport_tank,dora_zwx,9,Photo of a drone hovering beside the tank.,0.3133,0.7083,0.1716
wearable_jacket1,lora_zwx,0,photo of a jacket.,0.3125,0.865,0.6349
wearable_jacket1,lora_zwx,1,jacket on a rustic wooden bench in a park.,0.3694,0.6382,0.2997
wearable_jacket1,lora_zwx,2,jacket hanging on a golden coat rack.,0.3402,0.815,0.5739
wearable_jacket1,lora_zwx,3,jacket resting on the back of a chair in a cafe.,0.2889,0.7494,0.5292
wearable_jacket1,lora_zwx,4,A jacket on a hanger in the window of a shop.,0.3425,0.7577,0.5757
wearable_jacket1,lora_zwx,5,A jacket on a hook in a study room with bookshelves.,0.3244,0.7908,0.606
wearable_jacket1,lora_zwx,6,jacket placed on a beach chair on a sunny Caribbean beach.,0.3766,0.6092,0.2595
wearable_jacket1,lora_zwx,7,A humanoid robot wearing jacket with a futuristic city in the background.,0.3547,0.4825,0.1327
wearable_jacket1,lora_zwx,8,jacket hanging from a wall hook.,0.3079,0.8416,0.564
wearable_jacket1,lora_zwx,9,A mannequin showcasing jacket.,0.3298,0.8185,0.5932
wearable_jacket1,dora_zwx,0,photo of a jacket.,0.3192,0.8571,0.6518
wearable_jacket1,dora_zwx,1,jacket on a rustic wooden bench in a park.,0.3476,0.7612,0.4457
wearable_jacket1,dora_zwx,2,jacket hanging on a golden coat rack.,0.3274,0.8556,0.6681
wearable_jacket1,dora_zwx,3,jacket resting on the back of a chair in a cafe.,0.3033,0.8107,0.5992
wearable_jacket1,dora_zwx,4,A jacket on a hanger in the window of a shop.,0.3322,0.8401,0.5554
wearable_jacket1,dora_zwx,5,A jacket on a hook in a study room with bookshelves.,0.3383,0.8304,0.578
wearable_jacket1,dora_zwx,6,jacket placed on a beach chair on a sunny Caribbean beach.,0.3718,0.6295,0.3347
wearable_jacket1,dora_zwx,7,A humanoid robot wearing jacket with a futuristic city in the background.,0.3371,0.492,0.2578
wearable_jacket1,dora_zwx,8,jacket hanging from a wall hook.,0.2782,0.8378,0.6012
wearable_jacket1,dora_zwx,9,A mannequin showcasing jacket.,0.2967,0.836,0.6381
